Redox Couple,Oxidant,Reductant
SO4-2 to sulfur,SO4-2,sulfur
SO4-2 to pyrite,SO4-2,pyrite
SO4-2 to H2S,SO4-2,H2S
sulfur to pyrite,sulfur,pyrite
sulfur to H2S,sulfur,H2S
pyrite to H2S,pyrite,H2S
goethite to magnetite,goethite,magnetite
goethite to Fe+2,goethite,Fe+2
hematite to magnetite,hematite,magnetite
hematite to Fe+2,hematite,Fe+2
magnetite to Fe+2,magnetite,Fe+2
CO2 to CO,CO2,CO
CO2 to CH4,CO2,CH4
CO to CH4,CO,CH4
NO3- to NO2-,NO3-,NO2-
NO3- to NH3,NO3-,NH3
NO2- to NH3,NO2-,NH3
O2 to H2O,O2,H2O
H2O to H2,H2O,H2
