name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
acetic-acid,CH3COOH,C2H4O2,aq,Sho95,NA,3/6/1992,cal,-94760,-116100,42.7,40.56,52.01,11.6198,5.218,2.5088,-2.9946,42.076,-1.5417,-0.15,0,3,0,-1.0000 acetic-acid -2.0000 O2(g) 2.0000 H+ 2.0000 HCO3-,aux,C+3 C-3 4H+ 2O-2,organic_aq,
Cl-,Cl-,Cl-,aq,SH88 [S92],NA,07.Nov.97,cal,-31379,-39933,13.56,-29.44,17.79,4.032,4.801,5.563,-2.847,-4.4,-5.714,1.456,-1,3,0,,basis,Cl-,inorganic_aq,
O2(g),O2,O2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,0,0,49.029,NA,0,7.16,1,-0.4,0,0,0,0,3000,,,-1.0000 O2(g) 1.0000 O2(g),refstate,2O,inorganic_gas,
O2,NA,O2,aq,SHS89 [S92],NA,26.Jun.87,cal,3954,-2900,26.04,56,30.38,5.7889,6.3536,3.2528,-3.0417,35.353,8.3726,-0.3943,0,3,-1,-1.0000 O2 1.0000 O2(g),aux,2O,inorganic_aq,
acetate,CH3COO-,C2H3O2-,aq,Sho95,,2/28/1992,cal,-88270,-116160,20.6,6.2,40.5,7.7525,8.6996,7.5825,-3.1385,26.3,-3.86,1.3182,-1,4,0,-1.0000 acetate -1.0000 H+ 1.0000 acetic-acid,,C+3 C-3 3H+ 2O-2,organic_aq,
H2,NA,H2,aq,SHS89 [S92],NA,13.Jul.87,cal,4236,-1000,13.8,39.9,25.2,5.1427,4.7758,3.8729,-2.9764,27.6251,5.093,-0.209,0,3,-1,-1.0000 H2 -0.5000 O2(g) 1.0000 H2O,aux,2H,inorganic_aq,
OH-,OH-,OH-,aq,SH88 [S92],NA,06.Nov.97,cal,-37595,-54977,-2.56,-32.79,-4.18,1.2527,0.0738,1.8423,-2.7821,4.15,-10.346,1.7246,-1,3,0,-1.0000 OH- -1.0000 H+ 1.0000 H2O,,O-2 H+,inorganic_aq,
Na+,Na+,Na+,aq,SH88,,11/6/1997,cal,-62591,-57433,13.96,9.06,-1.11,1.839,-2.285,3.256,-2.726,18.18,-2.981,0.3306,1,4,0,,basis,Na+,inorganic_aq,
Na(Ac),,NaCH3COO,aq,SK93,,8/17/1992,cal,-150720,-173540,34.2,75.1,48.2,8.3514,12.6125,0.7884,-3.3003,49.8989,12.2617,-0.03,0,4,0,-1.0000 Na(Ac) 1.0000 Na+ 1.0000 acetic-acid -1.0000 H+,,Na+ C+3 C-3 3H+ 2O-2,organic_aq,
Na(Ac)2-,,Na(CH3COO)2-,aq,SK93,,9/10/1992,cal,-238470,-292400,44,170,103.2,16.2062,31.7884,-6.7416,-4.093,114.6437,31.5846,0.9633,-1,4,0,-1.0000 Na(Ac)2- 1.0000 Na+ 2.0000 acetic-acid -2.0000 H+,,Na+ 2C+3 2C-3 6H+ 4O-2,organic_aq,
HCO3-,HCO3-,HCO3-,aq,SH88,,11/6/1997,cal,-140282,-164898,23.53,-8.46,24.6,7.5621,1.1505,1.2346,-2.8266,12.9395,-4.7579,1.2733,-1,4,0,,basis,C+4 H+ 3O-2,required,
oxalic-acid,,C2H2O4,aq,Sho95,,2/28/1992,cal,-168640,-194580,44,22.7,49.43,8.4291,12.3793,1.7866,-3.2907,25.4994,-2.7181,-0.2957,0,4,0,-1.0000 ethane -0.5000 O2(g) 2.0000 HCO3- 2.0000 H+ -1.0000 H2O,,2C+3 2H+ 4O-2,organic_aq,
ethane,,C2H6,aq,SH90,,8/31/1987,cal,-3886,-24650,26.81,88.3,51.3,8.634,13.3011,0.5205,-3.3288,54.1755,14.9521,-0.406,0,3,0,-1.0000 ethane -3.5000 O2(g) 2.0000 HCO3- 2.0000 H+ 1.0000 H2O,,2C-3 6H+,organic_aq,
